district,attraction,style,budget,travel_route,weather
Darchula,Byas Gaun,adventure,867.53,,sunny
Rukum West,Jumla,adventure,2627.09,,warm
Parsa,Parsa Wildlife Reserve,adventure,880.45,,sunny
Kaski,Sarangkot,adventure,2733.25,,warm
Dolakha,Kalinchowk Bhagwati Temple,adventure,2985.46,Dolakha to Kavrepalanchok to Kathmandu to Dhading,sunny
Rukum,Rukumkot,adventure,3384.48,,sunny
Langtang,Gosaikunda Lake,adventure,3088.23,Langtang to Sindhupalchok to Kavrepalanchok to Bhaktapur,warm
Taplejung,Kanchenjunga Base Camp,adventure,2290.51,,warm
Sindhupalchok,Helambu,adventure,2702.34,,sunny
Jumla,Rara Lake,adventure,3109.36,,warm
Dolakha,Kalinchowk Bhagwati Temple,adventure,1239.17,Dolakha to Sindhupalchok to Kavrepalanchok to Kathmandu,sunny
Rasuwa,Langtang National Park,adventure,1241.19,Rasuwa to Sindhupalchok to Kavrepalanchok to Kathmandu,sunny
Kanchanpur,Shuklaphanta National Park,adventure,3075.7,,warm
Chitwan,Jungle Safari,adventure,1883.14,Chitwan to Gorkha to Tanahun to Palpa,sunny
Taplejung,Kanchenjunga Base Camp,adventure,1185.75,Taplejung to Panchthar,sunny
Rukum West,Jumla,adventure,3224.12,,sunny
Rukum,Rukumkot,adventure,1045.46,,sunny
Darchula,Byas Gaun,adventure,2938.61,,rainy
Taplejung,Kanchenjunga Base Camp,adventure,2228.61,Taplejung to Sankhuwasabha,any
Kanchanpur,Shuklaphanta National Park,adventure,2875.22,,sunny
Solukhumbu,Everest Base Camp,adventure,808.76,Solukhumbu to Taplejung to Panchthar,warm
Langtang,Gosaikunda Lake,adventure,3072.51,,warm
Sindhupalchok,Helambu,adventure,2256.32,,warm
Kaski,Sarangkot,adventure,2119.24,,sunny
Jumla,Rara Lake,adventure,956.4,Jumla to Rukum East,warm
Mustang,Lo Manthang,adventure,1146.66,,rainy
Dolpa,Phoksundo National Park,adventure,3403.78,Dolpa to Jumla to Rukum East to Salyan,cold
Kanchanpur,Shuklaphanta National Park,adventure,1982.87,,warm
Banke,Bardiya National Park,adventure,1712.83,,warm
Banke,Bardiya National Park,adventure,991.68,,warm
Chitwan,Jungle Safari,adventure,991.31,Chitwan to Nawalparasi,sunny
Rukum West,Jumla,adventure,1456.09,,rainy
Langtang,Langtang National Park,adventure,2579.25,,sunny
Rukum West,Jumla,adventure,2618.08,,any
Taplejung,Kanchenjunga Base Camp,adventure,2961.6,,sunny
Rasuwa,Helambu Trek,adventure,1178.49,,sunny
Mustang,Lo Manthang,adventure,2981.66,,warm
